confirmed_cases,confirmed_cases_change,confirmed_cases_change_pct,confirmed_cases_minus_deaths,deaths,deaths_change,deaths_change_pct,total_tested,total_tested_change,total_tested_change_pct,dateString,date
551957,15415,2.87,541453,10504,27,0.26,8871640,106540,1.22,2020-11-13,2020-11-13T00:00:00.000Z
562985,11028,2,552315,10670,166,1.58,8986010,114370,1.29,2020-11-14,2020-11-14T00:00:00.000Z
573616,10631,1.89,562874,10742,72,0.67,9070841,84831,0.94,2020-11-15,2020-11-15T00:00:00.000Z
585248,11632,2.03,574470,10778,36,0.34,9161453,90612,1,2020-11-16,2020-11-16T00:00:00.000Z
597849,12601,2.15,586975,10874,96,0.89,9255658,94205,1.03,2020-11-17,2020-11-17T00:00:00.000Z
606771,8922,1.49,595761,11010,136,1.25,9359227,103569,1.12,2020-11-18,2020-11-18T00:00:00.000Z
621383,14612,2.41,610205,11178,168,1.53,9472674,113447,1.21,2020-11-19,2020-11-19T00:00:00.000Z
634395,13012,2.09,623092,11303,125,1.12,9588698,116024,1.22,2020-11-20,2020-11-20T00:00:00.000Z
646286,11891,1.87,634856,11430,127,1.12,9708982,120284,1.25,2020-11-21,2020-11-21T00:00:00.000Z
656298,10012,1.55,644793,11505,75,0.66,9801419,92437,0.95,2020-11-22,2020-11-22T00:00:00.000Z
664620,8322,1.27,653068,11552,47,0.41,9892981,91562,0.93,2020-11-23,2020-11-23T00:00:00.000Z
674089,9469,1.42,662412,11677,125,1.08,9990304,97323,0.98,2020-11-24,2020-11-24T00:00:00.000Z
685467,11378,1.69,673635,11832,155,1.33,10104537,114233,1.14,2020-11-25,2020-11-25T00:00:00.000Z
697489,12022,1.75,685526,11963,131,1.11,10212093,107556,1.06,2020-11-26,2020-11-26T00:00:00.000Z
705063,7574,1.09,693034,12029,66,0.55,10289223,77130,0.76,2020-11-27,2020-11-27T00:00:00.000Z
712936,7873,1.12,700799,12137,108,0.9,10368278,79055,0.77,2020-11-28,2020-11-28T00:00:00.000Z
720114,7178,1.01,707921,12193,56,0.46,10431018,62740,0.61,2020-11-29,2020-11-29T00:00:00.000Z
726304,6190,0.86,714026,12278,85,0.7,10497998,66980,0.64,2020-11-30,2020-11-30T00:00:00.000Z
738846,12542,1.73,726443,12403,125,1.02,10614079,116081,1.11,2020-12-01,2020-12-01T00:00:00.000Z
748603,9757,1.32,735965,12638,235,1.89,10699586,85507,0.81,2020-12-02,2020-12-02T00:00:00.000Z
759562,10959,1.46,746736,12826,188,1.49,10806364,106778,1,2020-12-03,2020-12-03T00:00:00.000Z
770088,10526,1.39,757117,12971,145,1.13,10918998,112634,1.04,2020-12-04,2020-12-04T00:00:00.000Z
779975,9887,1.28,766796,13179,208,1.6,11021676,102678,0.94,2020-12-05,2020-12-05T00:00:00.000Z
787573,7598,0.97,774318,13255,76,0.58,11101214,79538,0.72,2020-12-06,2020-12-06T00:00:00.000Z
